category,question,answer
shipping,What are your shipping times?,Standard shipping takes 3-5 business days. Express shipping takes 1-2 business days and is available at checkout.
shipping,Do you ship internationally?,Yes! We ship to over 50 countries. International orders typically take 7-14 business days depending on destination.
shipping,How much does shipping cost?,Standard shipping is free on orders over $50. For orders under $50 standard shipping is $4.99. Express shipping is $12.99.
shipping,Can I track my order?,Yes. Once your order ships you will receive a tracking number by email. You can track your package on our website under Order Status.
returns,What is your return policy?,We accept returns within 30 days of purchase. Items must be unused and in original packaging. Sale items are final sale.
returns,How do I start a return?,Visit our Returns Centre at returns.yourstore.com or email support@yourstore.com with your order number. We will send a prepaid return label.
returns,When will I receive my refund?,Refunds are processed within 5-7 business days after we receive your return. You will receive a confirmation email.
returns,Can I exchange an item?,Yes. Exchanges are accepted within 30 days. Contact support with your order number and we will arrange the exchange.
orders,How do I cancel my order?,Orders can be cancelled within 2 hours of placing them. Contact us immediately at support@yourstore.com with your order number.
orders,I received the wrong item. What should I do?,We apologise for the mix-up! Please email support@yourstore.com with your order number and a photo of the item received. We will send the correct item at no extra charge.
orders,My order hasn't arrived. What should I do?,First check your tracking number for the latest status. If it shows delivered but you haven't received it please wait 24 hours as it may still be in transit. Then contact us and we will investigate.
orders,Can I change my delivery address?,Address changes are only possible within 1 hour of placing the order. Contact us immediately if you need to change your address.
account,How do I reset my password?,Click Forgot Password on the login page. Enter your email address and we will send you a reset link within a few minutes.
account,How do I update my payment details?,Log into your account and go to Account Settings > Payment Methods. You can add or remove payment methods there.
account,Can I place an order as a guest?,Yes! You can checkout as a guest without creating an account. However creating an account lets you track orders and save your details for faster checkout.
products,Are your products covered by a warranty?,All products come with a 12-month manufacturer warranty against defects. Extended warranties are available for purchase at checkout.
products,How do I find the right size?,We have a detailed Size Guide on every product page. If you are between sizes we recommend sizing up for a more comfortable fit.
products,Are your products eco-friendly?,We are committed to sustainability. Over 60% of our products are made from recycled or sustainably sourced materials. Each product page lists the materials used.
contact,How do I contact customer support?,You can reach us by email at support@yourstore.com (response within 24 hours) or chat with us right here. Our team is available Monday to Friday 9am-5pm EST.
contact,What are your business hours?,Our customer support team is available Monday to Friday 9am to 5pm EST. We are closed on public holidays. Orders placed outside these hours are still processed automatically.
